Question,Response
Anything else was discussed in the SMC meetings?,About grants and studies.
Anything else was discussed in the SMC meetings?,Enrollment 
Anything else was discussed in the SMC meetings?,no
Anything else was discussed in the SMC meetings?,No
Anything else was discussed in the SMC meetings?,Not any
Anything else was discussed in the SMC meetings?,Enrollment
Anything else was discussed in the SMC meetings?,Using of grant
Anything else was discussed in the SMC meetings?,Related to results
Anything else was discussed in the SMC meetings?,"Discussion regarding mission 100%, enhancement of enrollment, regarding smart school"
Anything else was discussed in the SMC meetings?,Using of grant
Anything else was discussed in the SMC meetings?,no
Anything else was discussed in the SMC meetings?,development plan survey
Anything else was discussed in the SMC meetings?,no
Anything else was discussed in the SMC meetings?,"Covid-19, Overall development of school "
Anything else was discussed in the SMC meetings?,No
Anything else was discussed in the SMC meetings?,School PTM 
Anything else was discussed in the SMC meetings?,.
Anything else was discussed in the SMC meetings?,.
Anything else was discussed in the SMC meetings?,mission 100%
Anything else was discussed in the SMC meetings?,Boundry wall
Anything else was discussed in the SMC meetings?,NA
Anything else was discussed in the SMC meetings?,"school grant,kitchen garden grant"
Anything else was discussed in the SMC meetings?,Covid 19 precautions 
Anything else was discussed in the SMC meetings?,No
Anything else was discussed in the SMC meetings?,Motivate parents and students for final Exam. 
Anything else was discussed in the SMC meetings?,Lack of principal
Anything else was discussed in the SMC meetings?,smart classroom
Anything else was discussed in the SMC meetings?,Regarding mission100%
Anything else was discussed in the SMC meetings?,Discussion regarding preboard exams.
Anything else was discussed in the SMC meetings?,Regarding bala work
Anything else was discussed in the SMC meetings?,datesheet 
Anything else was discussed in the SMC meetings?,No
Anything else was discussed in the SMC meetings?,.
Anything else was discussed in the SMC meetings?,No
Anything else was discussed in the SMC meetings?,Yes
Anything else was discussed in the SMC meetings?,No
Anything else was discussed in the SMC meetings?,Awareness regarding covid 19
Anything else was discussed in the SMC meetings?,Nil
Anything else was discussed in the SMC meetings?,No
Anything else was discussed in the SMC meetings?,Educational park
Anything else was discussed in the SMC meetings?,Covid guidelines and overall discipline status
Anything else was discussed in the SMC meetings?,Preparation for annual exams and school development plan. 
Anything else was discussed in the SMC meetings?,No
Anything else was discussed in the SMC meetings?,Regarding math park
Anything else was discussed in the SMC meetings?,Regarding Enrollment enhancement
Anything else was discussed in the SMC meetings?,To improve learning level of students and increase enrollment 
Anything else was discussed in the SMC meetings?,Constructed of Building should be done
Anything else was discussed in the SMC meetings?,Nil
Anything else was discussed in the SMC meetings?,different grants
Anything else was discussed in the SMC meetings?,different grants
Anything else was discussed in the SMC meetings?,Planning to increase the number of students 
Anything else was discussed in the SMC meetings?,Awareness regarding covid 19
Anything else was discussed in the SMC meetings?,Na
Anything else was discussed in the SMC meetings?,Entry gate
Anything else was discussed in the SMC meetings?,Pre-board result discussed with parents.
Anything else was discussed in the SMC meetings?,no
Anything else was discussed in the SMC meetings?,Prevention of covid19
Anything else was discussed in the SMC meetings?,different grants 
Anything else was discussed in the SMC meetings?,Discussion regarding enrollment enhancement
Anything else was discussed in the SMC meetings?,Enrollment drive 
Anything else was discussed in the SMC meetings?,students performance
Anything else was discussed in the SMC meetings?,School PTM
Anything else was discussed in the SMC meetings?,Regarding appointment of van mittar
Anything else was discussed in the SMC meetings?,"grants,mission 100%,annual non board exams"
Anything else was discussed in the SMC meetings?,Enrollement increase regarding
Anything else was discussed in the SMC meetings?,New admission
Anything else was discussed in the SMC meetings?,Nil
Anything else was discussed in the SMC meetings?,Nil
Anything else was discussed in the SMC meetings?,Smart School mission 
Anything else was discussed in the SMC meetings?,To improve learning level of students and increase enrollment 
Anything else was discussed in the SMC meetings?,students performance discussed
Anything else was discussed in the SMC meetings?,students performance
Anything else was discussed in the SMC meetings?,"ptm,pre board result, mission 100%,smart classroom grant"
Anything else was discussed in the SMC meetings?,students performance
Anything else was discussed in the SMC meetings?,Regarding the preparation of the students for annual exams and PTM in the school. 
Anything else was discussed in the SMC meetings?,Nil
Anything else was discussed in the SMC meetings?,Awareness of covid19
Anything else was discussed in the SMC meetings?,Motivation regarding enrollment drive
Anything else was discussed in the SMC meetings?,ssa Grants were discussed 
Anything else was discussed in the SMC meetings?,"boundary wall,kitchen shed"
Anything else was discussed in the SMC meetings?,To spend Funds 
Anything else was discussed in the SMC meetings?,different grants 
Anything else was discussed in the SMC meetings?,appreciation letters handed over
Anything else was discussed in the SMC meetings?,To increase enrollment and increase learning level of students 
Anything else was discussed in the SMC meetings?,different grants 
Anything else was discussed in the SMC meetings?,Covid 19 awareness
Anything else was discussed in the SMC meetings?,yes discussed
Anything else was discussed in the SMC meetings?,"grant for library books,led grant"
Anything else was discussed in the SMC meetings?,"smart classroom grant,grant for library books"
Anything else was discussed in the SMC meetings?,"enrollment
students performance"
Anything else was discussed in the SMC meetings?,Preparation of final Exam 
Anything else was discussed in the SMC meetings?,-
Anything else was discussed in the SMC meetings?,Enrollment campaign to increase the students strength 
Anything else was discussed in the SMC meetings?,To increase enrollment in School
Anything else was discussed in the SMC meetings?,To increase enrollment in School
Anything else was discussed in the SMC meetings?,smart classroom grants
Anything else was discussed in the SMC meetings?,Regarding the security arrangments of the school complex.
Anything else was discussed in the SMC meetings?,-
Anything else was discussed in the SMC meetings?,To increase enrollment in the School 
Anything else was discussed in the SMC meetings?,No
Anything else was discussed in the SMC meetings?,Class room construction
Anything else was discussed in the SMC meetings?,Yes
Anything else was discussed in the SMC meetings?,Increase enrollment and to spent funds
Anything else was discussed in the SMC meetings?,smc 
Anything else was discussed in the SMC meetings?,"repair and maintenance grant, library grant  discussed"
Anything else was discussed in the SMC meetings?,Enrollment drive should be done 
Anything else was discussed in the SMC meetings?,To increase enrollment in the School and lack of staff 
Anything else was discussed in the SMC meetings?,Nil
Anything else was discussed in the SMC meetings?,"led grant, kitchen garden grant, crc grant"
Anything else was discussed in the SMC meetings?,No
Anything else was discussed in the SMC meetings?,students progress
Anything else was discussed in the SMC meetings?,"enrollment
online teaching"
Anything else was discussed in the SMC meetings?,different grants were discussed 
Anything else was discussed in the SMC meetings?,To increase enrollment 
Anything else was discussed in the SMC meetings?,To declare Non Board classes result 
Anything else was discussed in the SMC meetings?,To declare Result of Non Board classes 
Anything else was discussed in the SMC meetings?,To increase enrollment in the School 
Challenges which parents raised if any:,N
Challenges which parents raised if any:,No
Challenges which parents raised if any:,"
"
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,No
Challenges which parents raised if any:,.
Challenges which parents raised if any:,None
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Yes
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,No
Challenges which parents raised if any:,none
Challenges which parents raised if any:,no
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Covid fear 
Challenges which parents raised if any:,Not
Challenges which parents raised if any:,None
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Mobile and internet problem
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,na
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,no
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Students feel stress of test
Challenges which parents raised if any:,Mobile and internet problems
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No any
Challenges which parents raised if any:,Nill
Challenges which parents raised if any:,Nill
Challenges which parents raised if any:,None
Challenges which parents raised if any:,no
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nothing 
Challenges which parents raised if any:,none
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Ni
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No problem
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,none
Challenges which parents raised if any:,About exam centre
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,None
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Online teaching
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,none
Challenges which parents raised if any:,.
Challenges which parents raised if any:,.....
Challenges which parents raised if any:,none
Challenges which parents raised if any:,School building is not available.
Challenges which parents raised if any:,None
Challenges which parents raised if any:,None
Challenges which parents raised if any:,.
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,.
Challenges which parents raised if any:,None
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Students attendance 
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,.
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nothing special
Challenges which parents raised if any:,Network issues and they dont have smartphones 
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,..
Challenges which parents raised if any:,No
Challenges which parents raised if any:,School building is not available
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,Managing online and offline studies 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,. 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,none
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,Fear of covid 19
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No challenge
Challenges which parents raised if any:,No
Challenges which parents raised if any:,none
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No issues raised
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,-
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,na
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,ਬੱਚੇ ਮਾਪਿਆਂ ਦੇ ਕਹਿਣੇ ਤੋਂ ਬਾਹਰ ਹਨ ਅਤੇ ਪੜ੍ਹਨ ਦੀ ਥਾਂ ਤੇ ਮੋਬਾਈਲ ਵੱਲ ਵੱਧ ਧਿਆਨ ਦੇ ਰਹੇ ਹਨ  
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,No issue
Challenges which parents raised if any:,Nill
Challenges which parents raised if any:,Covid-19
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,#
Challenges which parents raised if any:,No any issue
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,Increase enrollment
Challenges which parents raised if any:,","
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Increase enrollment
Challenges which parents raised if any:,----
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,no
Challenges which parents raised if any:,Building is not sufficient for students
Challenges which parents raised if any:,Less time for exam preparation 
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,ਵਿਦਿਆਰਥੀਆਂ ਦੀ ਪੜ੍ਹਾਈ ਵੱਲ ਮਾਪੇ ਘੱਟ ਧਿਆਨ ਦਿੰਦੇ ਹਨ  
Challenges which parents raised if any:,ਵਿਦਿਆਰਥੀਆਂ ਦਾ ਰੈਗੂਲਰ ਸਕੂਲ ਨਾ ਆਉਣਾ ਬਹੁਤ ਵੱਡੀ ਸਮੱਸਿਆ ਹੈ  
Challenges which parents raised if any:,nl
Challenges which parents raised if any:,Covid 19 disease
Challenges which parents raised if any:,.
Challenges which parents raised if any:,Corona
Challenges which parents raised if any:,Corona
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Corona
Challenges which parents raised if any:, 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,"No Math/Science teacher in school.
Plz fill the post"
Challenges which parents raised if any:,no
Challenges which parents raised if any:,No
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:, 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,-
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,na
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,No challenges
Challenges which parents raised if any:,NO
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,Irregularities of students due to Covid 19
Challenges which parents raised if any:,Everything is ok
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,na
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,Parents are afraiding from covid
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Finance problems
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No challenges
Challenges which parents raised if any:,none
Challenges which parents raised if any:,No
Challenges which parents raised if any:,","
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,They want the teachers to have full responsibility of their child 
Challenges which parents raised if any:,. 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Covid
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,SSt Teacher needed
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nothing 
Challenges which parents raised if any:,none
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Irregularities of students due to Covid 19
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil.
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,Not raised
Challenges which parents raised if any:,None
Challenges which parents raised if any:,.
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Covid 19
Challenges which parents raised if any:,No issues raised
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Fear of covid 19 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Covid 19
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No challenge
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,. 
Challenges which parents raised if any:,"No
"
Challenges which parents raised if any:, Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nothing 
Challenges which parents raised if any:,Fear of covid-19
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,no
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,na
Challenges which parents raised if any:,N
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Not any
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Irregularities of students due to Covid 19
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nothing 
Challenges which parents raised if any:,no ny
Challenges which parents raised if any:, No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,About exam centre
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,.
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Not any 
Challenges which parents raised if any:, No 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,bo
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No any
Challenges which parents raised if any:,No issue
Challenges which parents raised if any:,no
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,No
Challenges which parents raised if any:,On
Challenges which parents raised if any:,.
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,They are not ready to send children to school due to covid
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,Corona
Challenges which parents raised if any:,No big issue
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,No
Challenges which parents raised if any:,.....
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,No
Challenges which parents raised if any:,-
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,NO
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nothing
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Not any 
Challenges which parents raised if any:,None 
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,nil
Challenges which parents raised if any:,. 
Challenges which parents raised if any:,.
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,No any
Challenges which parents raised if any:,Irregularities of students due to Covid 19
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
Challenges which parents raised if any:,None
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,No
Challenges which parents raised if any:,No
Challenges which parents raised if any:,Na
Challenges which parents raised if any:,NA
Challenges which parents raised if any:,Nil
Challenges which parents raised if any:,No
