Question,Response
Anything else was discussed in the SMC meetings?,Boundry wall
Anything else was discussed in the SMC meetings?,"school grant,kitchen garden grant"
Anything else was discussed in the SMC meetings?,Covid 19 precautions 
Anything else was discussed in the SMC meetings?,Motivate parents and students for final Exam. 
Anything else was discussed in the SMC meetings?,Lack of principal
Anything else was discussed in the SMC meetings?,smart classroom
Anything else was discussed in the SMC meetings?,Regarding mission100%
Anything else was discussed in the SMC meetings?,Discussion regarding preboard exams.
Anything else was discussed in the SMC meetings?,Regarding bala work
Anything else was discussed in the SMC meetings?,datesheet 
Anything else was discussed in the SMC meetings?,.
Anything else was discussed in the SMC meetings?,Awareness regarding covid 19
Anything else was discussed in the SMC meetings?,Educational park
Anything else was discussed in the SMC meetings?,Covid guidelines and overall discipline status
Anything else was discussed in the SMC meetings?,Preparation for annual exams and school development plan. 
Anything else was discussed in the SMC meetings?,Regarding math park
Anything else was discussed in the SMC meetings?,Regarding Enrollment enhancement
Anything else was discussed in the SMC meetings?,To improve learning level of students and increase enrollment 
Anything else was discussed in the SMC meetings?,Constructed of Building should be done
Anything else was discussed in the SMC meetings?,different grants
Anything else was discussed in the SMC meetings?,different grants
Anything else was discussed in the SMC meetings?,Planning to increase the number of students 
Anything else was discussed in the SMC meetings?,Awareness regarding covid 19
Anything else was discussed in the SMC meetings?,Entry gate
Anything else was discussed in the SMC meetings?,Pre-board result discussed with parents.
Anything else was discussed in the SMC meetings?,Prevention of covid19
Anything else was discussed in the SMC meetings?,different grants 
Anything else was discussed in the SMC meetings?,Discussion regarding enrollment enhancement
Anything else was discussed in the SMC meetings?,Enrollment drive 
Anything else was discussed in the SMC meetings?,students performance
Anything else was discussed in the SMC meetings?,School PTM
Anything else was discussed in the SMC meetings?,Regarding appointment of van mittar
Anything else was discussed in the SMC meetings?,"grants,mission 100%,annual non board exams"
Anything else was discussed in the SMC meetings?,Enrollement increase regarding
Anything else was discussed in the SMC meetings?,New admission
Anything else was discussed in the SMC meetings?,Smart School mission 
Anything else was discussed in the SMC meetings?,To improve learning level of students and increase enrollment 
Anything else was discussed in the SMC meetings?,students performance discussed
Anything else was discussed in the SMC meetings?,students performance
Anything else was discussed in the SMC meetings?,"ptm,pre board result, mission 100%,smart classroom grant"
Anything else was discussed in the SMC meetings?,students performance
Anything else was discussed in the SMC meetings?,Regarding the preparation of the students for annual exams and PTM in the school. 
Anything else was discussed in the SMC meetings?,Awareness of covid19
Anything else was discussed in the SMC meetings?,Motivation regarding enrollment drive
Anything else was discussed in the SMC meetings?,ssa Grants were discussed 
Anything else was discussed in the SMC meetings?,"boundary wall,kitchen shed"
Anything else was discussed in the SMC meetings?,To spend Funds 
Anything else was discussed in the SMC meetings?,different grants 
Anything else was discussed in the SMC meetings?,appreciation letters handed over
Anything else was discussed in the SMC meetings?,To increase enrollment and increase learning level of students 
Anything else was discussed in the SMC meetings?,different grants 
Anything else was discussed in the SMC meetings?,Covid 19 awareness
Anything else was discussed in the SMC meetings?,"grant for library books,led grant"
Anything else was discussed in the SMC meetings?,"smart classroom grant,grant for library books"
Anything else was discussed in the SMC meetings?,"enrollment
students performance"
Anything else was discussed in the SMC meetings?,Preparation of final Exam 
Anything else was discussed in the SMC meetings?,-
Anything else was discussed in the SMC meetings?,Enrollment campaign to increase the students strength 
Anything else was discussed in the SMC meetings?,To increase enrollment in School
Anything else was discussed in the SMC meetings?,To increase enrollment in School
Anything else was discussed in the SMC meetings?,smart classroom grants
Anything else was discussed in the SMC meetings?,Regarding the security arrangments of the school complex.
Anything else was discussed in the SMC meetings?,-
Anything else was discussed in the SMC meetings?,To increase enrollment in the School 
Anything else was discussed in the SMC meetings?,Class room construction
Anything else was discussed in the SMC meetings?,Increase enrollment and to spent funds
Anything else was discussed in the SMC meetings?,smc 
Anything else was discussed in the SMC meetings?,"repair and maintenance grant, library grant  discussed"
Anything else was discussed in the SMC meetings?,Enrollment drive should be done 
Anything else was discussed in the SMC meetings?,To increase enrollment in the School and lack of staff 
Anything else was discussed in the SMC meetings?,"led grant, kitchen garden grant, crc grant"
Anything else was discussed in the SMC meetings?,students progress
Anything else was discussed in the SMC meetings?,"enrollment
online teaching"
Anything else was discussed in the SMC meetings?,different grants were discussed 
Anything else was discussed in the SMC meetings?,To increase enrollment 
Anything else was discussed in the SMC meetings?,To declare Non Board classes result 
Anything else was discussed in the SMC meetings?,To declare Result of Non Board classes 
Anything else was discussed in the SMC meetings?,To increase enrollment in the School 
